text,tamil,english,tamil_romanized
వృద్ధులైన మా నాన్నగారు తన చిన్ననాటి జ్ఞాపకాలను గుర్తు తెచ్చుకుంటూ పాత పద్ధతిలో తయారుచేసిన ఇత్తడి దీపాలను చాలా ఉత్సాహంగా కొనుగోలు చేశారు,வயதான என் தந்தை தன் சிறுவயது நினைவுகளை அசைபோட்டபடி பழங்கால முறையில் தயாரிக்கப்பட்ட பித்தளை விளக்குகளை மிகவும் உற்சாகமாக வாங்கினார்,My elderly father happily bought brass lamps made in the old way while remembering his childhood memories,Vayathaana en thanthai than siruvayathu ninaivugalai asaipottapadi pazhangala muraiyil thayarikkappatta pithalai vilakkugalai migavum utsaagamaaga vaanginaar
"வரலாற்று ஆர்வலராக, பழங்காலக் கட்டிடங்களுக்கு அருகில் செலவிடும் ஒவ்வொரு நிமிடமும் கடந்த காலத்தைத் தொடுவது போல் உணரப்படுகிறது; அது எனது எண்ணங்களுக்குச் சிறந்த முதிர்ச்சியையும் தெளிவையும் அளிக்கிறது.",வரலாற்று ஆர்வலராக பழங்காலக் கட்டிடங்களுக்கு அருகே செலவிடும் ஒவ்வொரு நிமிடமும் கடந்த காலத்தைத் தொடுவது போல் உள்ளது; அது எனது எண்ணங்களுக்குச் சிறந்த முதிர்ச்சியையும் தெளிவையும் தருகிறது.,As a history enthusiast every minute spent near ancient monuments feels like touching the past which brings great maturity and clarity to my thoughts,Varalaatru aarvalaraaga pazhangalak katidangalukku arugil selavidum ovvoru nimidamum kadantha kaalathaith thoduvathu pol ullathu athu en ennangalukus sirantha muthirchaiyum thelivaiyum tharugirathu
"Would young people who enjoy adventurous trips prefer mountaineering in Manali, Himachal Pradesh, or would beach sports in Goa provide them with more enjoyment?","Would mountaineering in Manali, Himachal Pradesh, appeal to young people who enjoy adventurous trips, or would beach sports in Goa provide them with more happiness?",Will young adventure lovers prefer mountain trekking in Manali of Himachal Pradesh or will they find more joy in the beach water sports of Goa,Saagasap payanangalai virumbum ilaignargaluku Himachal Pradeshin Manali malai eruthal pidikuma allathu Goavin kadarkarai vilaiyaatugal athiga magizhchiyai tharuma
ఆహార ప్రియుడిగా నేను ప్రసిద్ధ రెస్టారెంట్లలో తినాలా లేక స్థానిక ప్రజల ఆహారపు అలవాట్లను తెలుసుకోవడానికి వీధి ఆహారాన్ని ఎంచుకోవాలా అని ఆలోచించి స్థానిక రుచులకే ప్రాముఖ్యత ఇచ్చాను,உணவு ஆர்வலராக நான் புகழ்பெற்ற உணவகங்களில் சாப்பிட வேண்டுமா அல்லது உள்ளூர் மக்களின் உணவுப் பழக்கங்களைத் தெரிந்துகொள்ளத் தெருவோர உணவுகளைத் தேர்ந்தெடுக்க வேண்டுமா என்று யோசித்து உள்ளூர் சுவைகளுக்கே முன்னுரிமை அளித்தேன்,As a food enthusiast I thought whether to eat in famous restaurants or choose street food to know the food habits of local people and prioritized local flavors,Unavu aarvalaraaga naan pugazhpetra unavagangalil saappida veenduma allathu ulloor makkalin unavu pazhakkangalaith therinthukollath theruvora unavugalait thernthedukka veenduma endru yoosiththu ulloor suvaiugalukkea munnurimai alithen
పండుగ సందర్శకుడిగా వివిధ ప్రాంతాల్లోని ఉత్సవాలను చూసినప్పుడు మనుషుల మధ్య ఉండే భేదాలు చెరిగిపోయి అందరూ ఒకటి అనే భావన నాలో ఎంతో స్పూర్తిని నింపింది,திருவிழா வருகையாளராகப் பல இடங்களில் பண்டிகைகளைப் பார்க்கும்போது மனிதர்களுக்கு இடையே உள்ள வேறுபாடுகள் மறைந்து அனைவரும் ஒன்று என்ற உணர்வு என்னுள் பெரும் ஊக்கத்தை அளித்தது,As a festival visitor watching celebrations in various regions removed differences among people and the feeling that everyone is one filled me with inspiration,Thiruvizha varugaiyaalaraaga pala idangalil pandigaigalaip paarkkumbothu manithargalukku idaiye ulla verupaadugal marainthu anaivarum ondru endra unarvu ennull perum ookkathaith thalithathu
"கர்நாடகாவின் பாதாமி குடைவரைக் கோயில்களின் சுவர்களில் செதுக்கப்பட்டுள்ள பல நூற்றாண்டுகள் பழமையான நடராஜரின் கற்பாறை சிற்ப வரலாற்றை, அங்குள்ள உள்ளூர் வயதான வரலாற்று ஆராய்ச்சியாளரிடம் கேட்டு மேலும் பல விவரங்களை அறிந்தேன்.",கர்நாடகாவின் பாதாமி குடைவரைக் கோயில்களின் சுவர்களில் செதுக்கப்பட்டுள்ள பல நூற்றாண்டுகள் பழமையான நடராஜரின் கற்பாறை சிற்ப வரலாற்றை அங்குள்ள உள்ளூர் வயதான வரலாற்று ஆராய்ச்சியாளரிடம் கேட்டு மேலும் பல விவரங்களை அறிந்தேன்,I asked a local old history researcher to know more details and history of centuries old Nataraja stone sculpture carved on walls of Badami cave temples in Karnataka,Karnatakavin Badami kugaikoyil suvarhalil sethukkapatulla pala nootraandugal pazhamaiyana Natarajarin katpaarai sirpa varalaatrai angulla ulloor vayathaana varalaatru aaraachiyaridam kaetu mealum pala vivarangalair arinthen
புதுமணத் தம்பதிகள் அமைதியாகக் கழிப்பதற்கு லட்சத்தீவின் நீல நிறக் கடற்கரைகள் ஒரு அற்புதமான அனுபவத்தை வழங்கும் என்று கேள்விப்பட்டேன்,புதுமணத் தம்பதிகள் அமைதியாகக் கழிப்பதற்கு லட்சத்தீவின் நீல நிறக் கடற்கரைகள் ஒரு அற்புதமான அனுபவத்தை வழங்கும் என்று கேள்விப்பட்டேன்,I heard that the blue beaches of Lakshadweep offer a wonderful experience for newly married couples to spend some peaceful quality time together,Puthumanath thambathigal amaithiyaaga kazhippatharku Lakshatheevin neela nira kadarkaaraigal oru arputhamana anubavathai vazhangum endru kelvipatten
గోవాలోని ఉత్తర భాగంలో ఉన్న రద్దీగా ఉండే బీచ్‌లతో పాటు దక్షిణ భాగంలో ఉన్న ప్రశాంతమైన ప్రదేశాలను సందర్శించేలా నాలుగు రోజుల పట్టిక రాసుకున్నాను,గోవాలోని ఉత్తర భాగంలో ఉన్న రద్దీగా ఉండే బీచ్‌లతో పాటు దక్షిణ భాగంలో ఉన్న ప్రశాంతమైన ప్రదేశాలను సందర్శించేలా నాలుగు రోజుల పట్టికను నేను రూపొందించాను.,I wrote down a four day schedule to visit both the crowded beaches in North Goa and the tranquil isolated spots located in South Goa,Goavin vadaku paguthiyil ulla paraparapaana kadarkaaraigaludan theku paguthiyil ulla amaithiyaana idangalaiyum paarvaiyidum vagaiyil naangu naalaatavanai ezhuthiyulen
రాజస్థాన్‌లోని పుష్కర్ ఒంటెల జాతర సాంస్కృతిక రంగులను తెల్లవారుజామున చూడటానికి ఎడారి ఇసుక దిబ్బలపై ఏర్పాటు చేసిన విలాసవంతమైన రాయల్ టెంట్‌లో బస బుక్ చేశాను.,రాజస్థాన్‌లోని పుష్కర్ ఒంటెల జాతర సాంస్కృతిక రంగులను తెల్లవారుజామున చూడటానికి ఎడారి ఇసుక దిబ్బలపై ఏర్పాటు చేసిన విలాసవంతమైన రాయల్ టెంట్‌లో బస బుక్ చేశాను.,I booked a stay in a luxury royal tent set up on desert sand dunes to watch early morning the cultural colors of Pushkar Camel Fair in Rajasthan,Rajasthanin Pushkar ottaga santhayil kalaachaara vannangalai athigaalaiyileye kaanpatharkaaga paalaivana manal kundrugalin mel amaikapatulla aadampara royal koodaarathil thangumidham munpathivu seithen
లక్నో లోని బారా ఇమాంబరా చారిత్రక కట్టడ వీధుల్లో తిరుగుతూ అక్కడి నవాబుల కాలం నాటి సాంప్రదాయ అవధి వంటకాల రుచులను మరియు వాటి తయారీ వెనుక ఉన్న కథలను స్థానిక బావర్చీలను అడిగి తెలుసుకున్నాను,லக்னோவில் உள்ள பாரா இமாம்பரா வரலாற்றுச் சிறப்புமிக்க வீதிகளில் உலா வரும்போது அங்குள்ள நவாபுகள் காலத்து பாரம்பரிய அவதி உணவு வகைகளின் சுவைகள் மற்றும் அவற்றின் தயாரிப்பின் பின்னணியில் உள்ள கதைகளை உள்ளூர் சமையல் கலைஞர்களிடம் கேட்டு அறிந்தேன்,While roaming the historical streets of Bara Imambara in Lucknow I asked local chefs to know the traditional Awadhi cuisine tastes and stories behind their preparation from Nawabs era,Lucknowvil ulla Bara Imambara varalaatru sirappumika veethigalil ula varumbothu angulla Nawabgal kaalathu paarambariya Awadhi unavu vagaigalin suvaigal martum avatrin thariarippin binnaniyil ulla kathaigalai ulloor samayal kalaignargalidam kaetu arinthen
