text,intent
తిరుపతికి వెళ్లే ఆర్టీసీ బస్సులో చక్రాల కుర్చీ వాడే వారికి ప్రత్యేకమైన ర్యాంపు సదుపాయం ఉందా?,AccessibilitySupport
Visakhapatnam railway station lo kanti choopu leni prayanikula kosam platform maarpula gurinchi vinapadela annoucement lu chesthara?,PlatformInformation
హైదరాబాద్ ఎయిర్ పోర్ట్ లో గర్భిణీ స్త్రీల కోసం బోర్డింగ్ గేట్ వద్ద ప్రత్యేకమైన సెక్యూరిటీ చెకింగ్ మరియు సహాయక బృందం ఉంటారా?,AccessibilitySupport
Vijayawada bus stand lo vruddhula kosam andubatu lo unde soukaryavanthamaina waiting room lu ekkada unnay chudandi?,NavigationHelp
శ్రీశైలం వెళ్లే మార్గంలో చక్రాల కుర్చీ వాడే వారికి అనువైన రవాణా సౌకర్యాలు మరియు బస్సులలో వెళ్ళడానికి ఏవైనా ప్రత్యేక అనుమతులు ఉన్నాయా?,Transportation
Kakinada railway station lo vinikidi lopam unnavari kosam train time gurinchi digital display lu pani chesthunnaya leda cheppandi?,PlatformInformation
వరంగల్ బస్ స్టాండ్‌లో తక్కువ చూపు ఉన్న ప్రయాణికులకు బస్ నంబర్లను గుర్తించడానికి సిబ్బంది సహాయం ఎక్కడ దొరుకుతుంది?,TravelAssistance
Kurnool nundi velle express train lo garbini la ku ketayinchina lower berth seat lu confirm avvadaniki entha samayam paduthundi?,SeatSelection
అమరావతి రైల్వే స్టేషన్‌లో వీల్ చైర్ వాడే వారికి లిఫ్ట్ సౌకర్యం మరియు ప్లాట్‌ఫారమ్ మధ్య గ్యాప్ లేకుండా బోర్డింగ్ సదుపాయం ఉందా?,AccessibilitySupport
Nellore bus stand lo vvruddha prayanikula ku luggage moyadaniki porter lu leda trolley lu evaina dorukuthaya cheppandi?,TravelAssistance
Rajamundry airport lo vinikidi lopam unde prayanikula ku flight details telusukovadaniki evaina prathyeka counter lu unnaya?,TravelAssistance
Anantapur lo wheel chair vade variki andubatu lo unde lodge lu mariyu akkada toilets wheelchair friendly ga untaya?,NavigationHelp
Bhadrachalam devalayam velle darilo kanti choopu leni variki nadavadaniki help chese volunteers evaraina untara?,TravelAssistance
Guntur railway station lo vruddhula ku mariyu garbini la ku ticket counter vaddha waiting lekunda prathyeka queue unda?,AccessibilitySupport
Ongole nundi velle rail la lo chakrala kurchi vade variki berth reservation mariyu toilet soukaryam ela manage chestharu?,AccessibilitySupport
Tirupati airport lo garbini la ku wheel chair sahayam mariyu boarding vaddha priority ivvadam jaruguthunda?,AccessibilitySupport
Eluru bus station lo vinikidi lopam unnavari ki bus timings gurinchi info icche visual board lu unnaya?,PlatformInformation
Karimnagar nundi prayaninche vruddhulu mariyu blind travelers kosam bus conductor lu special care teesukuntara?,TravelAssistance
Nizamabad railway station lo wheelchair vade variki train ekkadaniki rampu lu mariyu elevator lu work chesthunnaya?,AccessibilitySupport
Machilipatnam velle bus lo pregnant ladies ki extra safety mariyu rest kosam emaina seats reserve chestaru?,SeatSelection
Khammam bus stand lo kanti choopu leni prayanikulaku help desk ekkada untundi and evaraina guide chesthara?,TravelAssistance
Vizag metro station lo elderly people kosam lifts and escalators sariga pani chesthunnaya ledante nenu entha duram nadavali?,NavigationHelp
Tirupati railway station lo hearing impaired people kosam announcement lu text రూపంలో వస్తాయా లేదా చెప్పండి?,PlatformInformation
Kadapa nundi velle volvo bus lo pregnant woman ki comfort ga unna seat select chesi ivvagalara?,SeatSelection
Adilabad railway station lo wheelchair user train lo ekkadaniki support staff ni munduga book cheskovali?,TravelAssistance
Anakapalle bus complex lo elderly travelers kosam special seating area unda ekkada chusthe untundi?,NavigationHelp
Mahabubnagar nundi velle special train lo blind passenger ki guide cheyadaniki emaina arrangements untaya?,TravelAssistance
