input_text,normalized_telugu
"వరిపంటకు ఎర్రనల్లి తెగులు సోకింది ఏ మందు చల్లాలి చెప్పండి","వరిపంటకు ఎర్రనల్లి తెగులు సోకింది, ఏ మందు చల్లాలో చెప్పండి."
"pilla missing rly stn lo chala bhayanga vundi","రైల్వే స్టేషన్‌లో బాబు కనిపించడం లేదు, చాలా భయంగా ఉంది."
"చెరువులో చేపలు అన్నీ తేలిపోయి చనిపోతున్నాయి కారణం ఏంటి","చెరువులో చేపలన్నీ పైకి తేలిపోయి చనిపోతున్నాయి, దీనికి కారణం ఏమిటి?"
"missing pet dog white colour labrador last seen guntur","తెల్ల రంగు లాబ్రడార్ పెంపుడు కుక్క తప్పిపోయింది, చివరిసారిగా గుంటూరులో కనిపించింది."
"పాడి ఆవు సడన్‌గా పాలు ఇవ్వడం తగ్గించింది పశువైద్యుడు ఎక్కడున్నాడు","పాడి ఆవు అకస్మాత్తుగా పాలు ఇవ్వడం తగ్గించింది, పశువైద్యుడు ఎక్కడ ఉంటారు?"
"lost luggage in flight return back options process tracking","విమాన ప్రయాణంలో పోయిన లగేజీని తిరిగి పొందే ప్రక్రియ మరియు ట్రాకింగ్ వివరాలు."
"సినిమా టికెట్లు ఆన్‌లైన్‌లో బుక్ అవ్వట్లేదు సర్వర్ ఎర్రర్ వస్తోంది","సినిమా టికెట్లు ఆన్‌లైన్‌లో బుకింగ్ కావడం లేదు, సర్వర్ ఎర్రర్ వస్తోంది."
"wheelchair accessibility status in historic fort excavation site area","చారిత్రక కోట తవ్వకాల ప్రాంతంలో వీల్‌చైర్ యాక్సెస్ సౌకర్యం ఉందా?"
"ఉగాది పచ్చడి తయారీ విధానం సాంప్రదాయ పద్ధతిలో చెప్పండి","ఉగాది పచ్చడి తయారు చేసే విధానాన్ని సాంప్రదాయ పద్ధతిలో చెప్పండి."
"blind traveler support assistance desk contact number in museum","మ్యూజియంలో అంధ ప్రయాణికులకు సహాయం అందించే డెస్క్ సంప్రదింపు నంబరు."
"fisheries","చేపల పెంపకం."
"పశుగ్రాసం","పశుగ్రాసం."
"cinema","చలనచిత్రం."
"పెళ్లి","వివాహం."
"funerals","అంత్యక్రియలు."
"అద్దె","ఇంటి అద్దె."
"courts","న్యాయస్థానాలు."
"పోలీస్","పోలీస్ స్టేషన్."
"volunteering","స్వచ్ఛంద సేవ."
"పర్యావరణం","పర్యావరణం."
"astronomy","ఖగోళ శాస్త్రం."
"పురావస్తు","పురావస్తు శాఖ."
"history","చరిత్ర."
"గిరిజన","గిరిజన ప్రాంతం."
"భూమి తగాదా","భూమి తగాదా."
"fite n rst","పోలీస్ స్టేషన్‌లో ఎఫ్‌ఐఆర్ నమోదు చేయడం."
"missing bby","తప్పిపోయిన పిల్లాడు."
"lost bggge","పోగొట్టుకున్న లగేజీ."
"evacuate nw","వెంటనే ఖాళీ చేయడం."
"మా అబ్బాయి వయసు ఐదు సంవత్సరాలు, జాతర రద్దీలో చెయ్యి జారి ఎటు వెళ్ళిపోయాడో తెలియడం లేదు, ఎరుపు రంగు చొక్కా వేసుకున్నాడు, పోలీస్ కంట్రోల్ రూమ్ ఎక్కడుందో ఎవరైనా చెప్పండి పుణ్యం ఉంటుంది.","మా అబ్బాయి వయసు ఐదు సంవత్సరాలు, జాతర రద్దీలో చెయ్యి జారి ఎటు వెళ్ళిపోయాడో తెలియడం లేదు. ఎరుపు రంగు చొక్కా వేసుకున్నాడు, పోలీస్ కంట్రోల్ రూమ్ ఎక్కడ ఉందో దయచేసి ఎవరైనా చెప్పండి."
"tribal village lo water pollution valla prajalu badhapaduthunnaru, environmental safety ngo links emైనా ఉంటే షేర్ చేయండి, వాళ్లకు లాంగ్వేజ్ బారియర్ వల్ల కంప్లైంట్ ఇవ్వడం చేతకావడం లేదు సర్.","గిరిజన గ్రామంలో నీటి కాలుష్యం వల్ల ప్రజలు బాధపడుతున్నారు, ఎన్విరాన్‌మెంటల్ సేఫ్టీ ఎన్జీఓ లింకులు ఏమైనా ఉంటే షేర్ చేయండి. వాళ్లకు భాషా సమస్య వల్ల ఫిర్యాదు చేయడం చేతకావడం లేదు సార్."
"మా పెంపుడు పిల్లి నిన్న రాత్రి నుండి కనిపించడం లేదు, మెడలో నలుపు రంగు బెల్ట్ ఉంది, ఇరుగుపొరుగు ఇళ్లలో వెతికినా ఆచూకీ దొరకలేదు, స్థానిక యానిమల్ రెస్క్యూ గ్రూప్‌లో ఎలా పోస్ట్ చేయాలో చెప్పండి.","మా పెంపుడు పిల్లి నిన్న రాత్రి నుండి కనిపించడం లేదు, మెడలో నలుపు రంగు బెల్ట్ ఉంది. ఇరుగుపొరుగు ఇళ్ళలో వెతికినా ఆచూకీ దొరకలేదు, స్థానిక యానిమల్ రెస్క్యూ గ్రూప్‌లో దీని గురించి ఎలా పోస్ట్ చేయాలో చెప్పండి."
"archaeology museum near central library details kavali, historical structures research kosam blind students travel chesthunnaru, akkada audio guides and blind friendly paths available unaya plz check.","సెంట్రల్ లైబ్రరీ సమీపంలో ఉన్న పురావస్తు మ్యూజియం వివరాలు కావాలి, చారిత్రక కట్టడాల పరిశోధన కొరకు అంధ విద్యార్థులు ప్రయాణిస్తున్నారు. అక్కడ ఆడియో గైడ్స్ మరియు అంధులకు అనుకూలమైన మార్గాలు అందుబాటులో ఉన్నాయా, దయచేసి తనిఖీ చేయండి."
