text,intent
ఈ ఊరి ఫోటోగ్రాఫిక్ మ్యాప్ కావాలి,TravelPhotography
ఎయిర్‌పోర్ట్‌లో ఫ్లైట్ లేట్ అయింది,TravelDelay
తిరుపతిలో దర్షన్ కోసం వేచి ఉన్నాం వెయిటింగ్ రూమ్ లో ఫెసిలిటీస్ బాలేవు,TravelComplaint
kerala lo kathakali dance program tickets ela book cheyyali,CulturalTourism
Bhongir bus stand lo hearing impaired people ki info boards unnay?,PlatformInformation
shimla lo snow trekking experience ela untundi review cheppandi,TravelReview
ప్లాట్‌ఫారమ్ తెలియడం లేదు,NavigationHelp
ఏజెన్సీ ఏరియాలో మొబైల్ నెట్‌వర్క్ ఉండదు అక్కడ నావిగేషన్ కోసం ఏం చేయాలి,TravelTechnology
నేను రైలులో నా బ్యాగ్ మర్చిపోయాను,TravelAssistance
హైదరాబాద్‌లో బస్సు స్టాండ్ ఎక్కడ ఉందో తెలియడం లేదు గూగుల్ మ్యాప్స్ లో వేరే దారి చూపిస్తోంది ఏ బస్సు ఎక్కాలో ఎలా తెలుసుకోవాలి,NavigationHelp
రాత్రి 11 గంటలకు బస్సు దిగా ఇక్కడ హోటల్స్ ఏవీ తెరిచి లేవు,EmergencyTravel
ట్రెక్కింగ్ కి వెళ్ళేటప్పుడు తీసుకెళ్లాల్సిన ఎసెన్షియల్స్ లిస్ట్ పంపండి,TravelGuide
train lo water ledu washroom chala dirt ga undi complain ekkada cheyali,TravelComplaint
నేను రైలు టికెట్ బుక్ చేశాను అది కన్ఫర్మ్ కాలేదు,WaitingList
విజయవాడలో నేను టాక్సీ ఎలా బుక్ చేయాలి,Transportation
Guntur railway station lo vruddhula ku mariyu garbini la ku ticket counter vaddha waiting lekunda prathyeka queue unda?,AccessibilitySupport
kurnool daggara rural villages ni visit cheyadaniki guidance kavali,RuralTourism
బైక్ మీద లాంగ్ డ్రైవ్ వెళ్తున్నాను అరకు వెళ్లే మార్గంలో జాగ్రత్తలు ఏమి తీసుకోవాలి,TravelSafety
nenu correct bus stand lo unna,NavigationHelp
luggage weight extra charging,TravelComplaint
Suryapet railway stand lo wheelchair accessibility gurinchi infomation kavali?,AccessibilitySupport
ట్రెక్కింగ్ కి వెళ్ళేప్పుడు బూట్లు ఏవి వాడాలి,AdventureTravel
విశాఖలో బెస్ట్ సీఫుడ్ రెస్టారెంట్ ఏది,RestaurantSearch
Chittoor bus stand lo wheelchair access unna toilets ekkada unnay koncham detail ga cheppandi?,AccessibilitySupport
నేను ఫ్లైట్ కోసం ఎయిర్‌పోర్ట్ కి వెళ్తున్నాను ఎంత ముందు వెళ్లాలి,TravelPlanning
స్టేషన్లో ఎవరూ రెస్పాండ్ అవ్వడం లేదు,TravelComplaint
నేను ఎక్కాల్సిన ట్రైన్ ప్లాట్‌ఫారమ్ మార్చారు ఎస్కలేటర్ పనిచేయడం లేదు సామానుతో నేను ఎలా వెళ్ళాలి,NavigationHelp
ట్రైన్ ఎక్కేటప్పుడు తొక్కిసలాటలో నా బ్యాగ్ పగిలిపోయింది అందులో ఉన్న నా ల్యాప్‌టాప్ పాడైంది దీనికి ఎవరు నష్టపరిహారం చెల్లిస్తారు,LuggageIssue
సమ్మర్ లో హైదరాబాద్ ఎయిర్‌పోర్ట్‌లో కనీసం ఫ్యాన్ సౌకర్యం కూడా లేదు వేడి వల్ల నా పిల్లలు స్పృహ కోల్పోతున్నారు ఎయిర్‌పోర్ట్ అధికారులకు కంప్లైంట్ ఇవ్వాలి,TravelComplaint
నేను తెల్లవారుజామున తిరుపతి చేరుకుంటున్నాను అలిపిరి దగ్గర ఫ్రెష్ అవ్వడానికి గదులు దొరుకుతాయా,Accommodation
Kamareddy bus stand lo wheelchair users kosam separate entry gate unda?,AccessibilitySupport
ట్రైన్ ఎందుకు ఆగిపోయింది,TravelDelay
నేను బ్లైండ్ ట్రావెలర్‌ని సికింద్రాబాద్ స్టేషన్‌లో అనౌన్స్‌మెంట్ అస్సలు వినిపించడం లేదు ఏ ప్లాట్‌ఫారమ్ నుండి ట్రైన్ వెళ్తుందో నాకు అర్థం కావడం లేదు,NavigationHelp
